Gross household income per week(b),1994–95,1995–96,1996–97,1997–98,1999–2000,2000–01,2002–03,2003–04,2005–06,2007–08(a),2009–10,2011–12,2013–14,2015–16,2017–18
Negative income,37.8,36.8,33.3,33.3,39.5,40.1,32.1,17.6,21.4,*14.4 ,24.8,22.8,22.6,19.5,*16.3 
No income,39.2,28.7,34,41.2,36.1,46,65.5,37.2,19.8,27.8,15.5,19.3,22.6,*13.2 ,22.3
$1–99,61.6,55.2,37.9,50.3,48.7,67,65,46.7,65.1,63.8,76.5,63.2,78.4,91.1,95.4
$100–199,59,50.2,43,58.5,43.1,46.2,53.1,42.3,32.5,33.6,49,47.3,51.4,42.2,54.7
$200–299,423.8,435.2,402.2,387.8,376.8,266.7,228.1,175.4,166.4,108.9,88.7,93.9,93.8,78.4,97.3
$300–399,394.8,411.2,404.4,439.6,472.6,613,622.5,596.6,591.1,544,384.3,203.1,145.8,148.2,173.6
$400–499,434.9,460.7,468.1,432.4,411.6,346.6,344.7,308,271.3,246,446.2,635.5,526.3,545.7,567
$500–599,383.4,404.8,406.1,405.6,445.8,487.6,481.6,475.9,417.5,291.9,286.5,251.2,355.3,379.5,353.4
$600–699,321.2,338.5,336.3,348.2,343.9,378.8,347.4,431.4,400.8,368.6,425.7,408.4,322.6,370.4,247.4
$700–799,304.9,307.8,297.7,313,260.1,336.3,357.3,352.5,326.8,313.9,349.8,350.6,413,391.9,432.2
$800–899,292.9,283.5,295.8,299.2,322.6,293.5,314.2,280,295.1,289.6,317.5,324.3,351.4,313.3,332.4
$900–999,252.7,270.6,252.1,265.6,253.4,246.6,287.2,283.1,271.2,296,316,300.6,332.4,336.1,334.1
"$1,000–1,099",265.6,270.9,290.9,283.4,262.9,259.6,267.6,266,277.2,250.4,293.5,301.6,286.4,322.1,312
"$1,100–1,199",236.1,278.3,245.2,263.3,250.7,261.7,296.5,264.6,285,244.1,238.3,283.9,269.3,250.7,290.8
"$1,200–1,299",237.3,181.2,260.2,229.6,242.1,267.3,272,280.1,243.3,257.5,254.1,248.5,266.2,268.3,285.4
"$1,300–1,399",216,255.4,229.7,242.1,238.4,231.4,243.8,267.8,287.6,238.2,258.4,242.6,244.6,258.9,274
"$1,400–1,499",217.1,189.6,236.4,212.9,208.2,249.8,218.6,241.7,219.1,200.6,233.8,230.8,239.2,255.7,242.9
"$1,500–1,599",224.6,206.2,202.3,216.4,231.7,230,266.2,234,255.8,237,235.4,229.2,233.2,234.1,252
"$1,600–1,699",177.9,225.7,215.2,208.7,212.2,241.1,216.9,256.1,212.4,213.4,223.4,242.7,232.2,220,248.7
"$1,700–1,799",179.3,165.4,215.1,175.9,196.2,211.8,234.6,203.3,211.5,228.6,217.6,224.5,223.9,245.8,240.2
"$1,800–1,899",174,189.2,167.4,178.3,185.7,185.7,214.1,222.4,187.8,222.1,222.9,205.4,213.2,223.1,233.5
"$1,900–1,999",139.2,165.6,161.5,155.5,165.1,196.1,214.2,190.6,216.3,213.7,183.9,189.8,220,227.3,227.2
"$2,000–2,199",263.5,289.4,260.2,286.8,294.7,328.2,294.5,359.5,367.4,392.4,405.3,405.3,381.3,428,442.6
"$2,200–2,399",244.1,240,236.9,263.6,244.6,259.2,296.4,304.7,365.1,338.4,371.4,353,357.5,366.9,387.2
"$2,400–2,599",178.7,189.3,214,215.8,233.1,227.1,221.9,264.3,298.5,320.5,312.4,316,352.8,321,359.1
"$2,600–2,799",168.2,133.5,152.5,153.4,186.9,185.6,204.6,241.9,248.9,292.1,300.3,319.4,289.4,304.9,310.8
"$2,800–2,999",162.1,140.8,128.3,140.4,157.6,152,169,184.6,235.2,239.4,235.8,285.9,272.4,263.9,293
"$3,000–3,499",174,177.9,216,245.3,277.2,248.3,327.5,303.6,379.4,460.2,476.8,559.2,579.5,550.3,591.4
"$3,500–3,999",111.8,89.8,127.3,134,161.1,132.8,181.1,229.4,251.2,329.5,352.6,378,376,409.5,450.5
"$4,000–4,499",45.5,68.8,81.6,72.8,118.8,76.9,101.7,114.3,161.3,222.2,238.9,263.4,243.8,294.5,319.9
"$4,500–4,999",39,36,38.6,37.3,68.7,50.6,68.4,68.5,89.4,137.8,158.9,178.2,204.2,229,232.3
"$5,000–5,499",17.2,*19.7 ,23.2,37.8,41.2,52.1,41.7,49.5,56.4,81.5,104.1,116.5,124,134.3,137.4
"$5,500–5,999",*11.5 ,15.3,*12.1 ,*11.2 ,27.4,*14.3 ,20.1,31.5,40.8,81.7,67.6,79.4,103.6,96.6,85.2
"$6,000 or more",57.7,45.9,45.2,63,62.6,84.8,68.3,110.6,157.6,277.1,232.6,256.7,338.4,335.8,343.4
