Net worth range(b),2003–04,2005–06,2009–10,2011–12,2013–14,2015–16,2017–18
Less than $0, 56.6 , 75.6 , 77.3 , 113.7 , 93.8 , 106.1 , 127.3 
"$0 to less than $50,000"," 1,045.9 ", 999.6 ," 1,004.1 "," 1,013.9 "," 1,003.4 "," 1,015.4 "," 1,105.2 "
"$50,000 to less than $100,000", 542.7 , 567.5 , 573.4 , 607.3 , 666.9 , 592.5 , 599.3 
"$100,000 to less than $150,000", 357.2 , 373.0 , 385.9 , 436.5 , 415.0 , 420.7 , 432.2 
"$150,000 to less than $200,000", 320.4 , 283.8 , 308.1 , 353.1 , 325.6 , 310.3 , 348.8 
"$200,000 to less than $250,000", 360.0 , 298.5 , 291.8 , 332.7 , 326.2 , 289.1 , 329.8 
"$250,000 to less than $300,000", 364.0 , 298.3 , 270.2 , 293.1 , 349.5 , 301.6 , 291.8 
"$300,000 to less than $350,000", 360.7 , 341.5 , 311.1 , 291.3 , 312.3 , 302.6 , 251.9 
"$350,000 to less than $400,000", 365.1 , 341.9 , 320.8 , 292.9 , 315.9 , 301.1 , 294.1 
"$400,000 to less than $450,000", 356.4 , 376.3 , 296.8 , 321.2 , 318.5 , 282.8 , 270.3 
"$450,000 to less than $500,000", 320.8 , 312.5 , 328.9 , 326.4 , 292.8 , 280.2 , 258.3 
"$500,000 to less than $600,000", 561.2 , 620.9 , 595.2 , 587.8 , 599.4 , 587.1 , 548.3 
"$600,000 to less than $700,000", 440.4 , 490.3 , 541.7 , 504.2 , 449.9 , 524.7 , 449.5 
"$700,000 to less than $800,000", 389.7 , 417.7 , 419.3 , 377.9 , 420.1 , 391.0 , 409.7 
"$800,000 to less than $900,000", 284.8 , 326.2 , 373.5 , 381.0 , 348.8 , 366.0 , 348.9 
"$900,000 to less than $1,000,000", 250.0 , 221.4 , 309.6 , 303.9 , 289.9 , 319.3 , 323.3 
"$1,000,000 to less than $1,100,000", 197.5 , 186.2 , 243.8 , 253.7 , 268.4 , 272.3 , 324.3 
"$1,100,000 to less than $1,200,000", 149.2 , 175.4 , 208.2 , 215.4 , 233.4 , 258.2 , 282.7 
"$1,200,000 to less than $1,400,000", 249.2 , 264.4 , 324.6 , 342.7 , 369.5 , 381.1 , 418.1 
"$1,400,000 to less than $1,600,000", 167.2 , 211.2 , 239.2 , 251.2 , 248.7 , 306.3 , 315.7 
"$1,600,000 to less than $1,800,000", 106.2 , 144.0 , 177.5 , 174.5 , 194.0 , 245.9 , 232.5 
"$1,800,000 to less than $2,000,000", 87.1 , 107.0 , 140.2 , 148.4 , 164.3 , 181.2 , 198.7 
"$2,000,000 to less than $2,200,000", 58.2 , 57.9 , 88.7 , 127.9 , 108.0 , 159.8 , 162.7 
"$2,200,000 to less than $2,400,000", 59.1 , 80.4 , 73.5 , 83.8 , 94.6 , 117.7 , 132.8 
"$2,400,000 to less than $2,600,000", 39.0 , 40.8 , 64.6 , 58.7 , 64.3 , 67.8 , 103.9 
"$2,600,000 to less than $3,000,000", 55.8 , 87.7 , 101.2 , 98.1 , 105.8 , 153.1 , 136.0 
"$3,000,000 to less than $4,000,000", 99.7 , 100.3 , 133.7 , 140.6 , 162.0 , 177.8 , 233.1 
"$4,000,000 to less than $5,000,000", 26.7 , 49.4 , 72.1 , 65.2 , 75.4 , 115.2 , 120.0 
"$5,000,000 to less than $7,000,000", 30.2 , 38.8 , 57.5 , 70.4 , 79.7 , 73.5 , 117.8 
"$7,000,000 to $10,000,000", 19.3 , 17.0 , 30.3 , 37.4 , 34.8 , 43.5 , 47.0 
"More than $10,000,000", 15.6 , 20.6 , 35.8 , 25.6 , 35.8 , 31.0 , 58.6 
